"x"
9.58
9.43
12.33
5.96
3.55
34.29
9.93
7.22
13.24
8.69
11.47
14.51
12.6
6.06
5.29
10.84
16.58
8.64
5.28
10.93
13.22
8.37
5.97
15.68
10.37
6.69
1.7
8.74
3.08
4.53
3.46
9.3
2.91
2.98
7.45
2.08
0.7
0.72
2.52
1.98
4.21
1.62
4.75
0.86
0.67
0.42
0.02
53.03
112.8
21.52
22.72
25.78
20.19
12.67
12.87
117.41
42.68
19.55
138.63
29.75
45.91
51.85
4.02
26.87
5.83
18.14
71.27
55.36
55.79
51.25
31.83
4.83
40.42
5.57
16.69
14.8
27.35
12.89
11.47
21.28
18.05
13.82
17.54
14.43
19.27
9.95
4.35
29.94
5.62
53.56
32.6
32.8
53.48
12.89
23.02
29.48
23.59
34.27
111.37
39
26.57
30.22
29.38
7.11
36.35
14.21
10.33
26.81
51.26
